"address","year_sold","bedrooms","land_area","price"
"3 Garland Place, Singleton",2015,4,772,512000
"3 Garnet Street, Mount Richon",2014,4,729,535000
"3 Garratt Court, Camillo",2015,3,690,300000
"3 Gascoyne Way, Cooloongup",2017,3,680,240000
"3 Gaston Road, Secret Harbour",2020,4,675,520000
"3 Gayton Place, North Beach",2017,4,425,854000
"3 Genesta Place, Two Rocks",2020,4,836,435000
"3 Genus Road, Banksia Grove",2017,4,473,417000
"3 Giddens Court, North Lake",2017,4,718,590000
"3 Giglia Drive, Sinagra",2017,4,549,500000
"3 Gilfellon Road, Stoneville",2016,4,2129,535000
"3 Gilroyd Way, Golden Bay",2017,3,297,295000
"3 Girvan Place, Darlington",2016,4,1975,620000
"3 Gladstone Street, St James",2018,3,550,527250
"3 Glasnevin Court, Waterford",2011,4,823,1158000
"3 Glasshouse Close, Bibra Lake",2018,4,752,702500
"3 Glen Iris Drive, Jandakot",2014,4,700,850000
"3 Glen Street, West Leederville",2019,3,313,1035000
"3 Glencoe Place, Cooloongup",2020,3,750,295000
"3 Gochean Avenue, Bentley",2017,5,276,440000
"3 Gold Street, South Fremantle",2018,2,221,950000
"3 Goline Court, Hillman",2013,3,698,279000
"3 Goodchild Place, Bellevue",2016,3,798,425000
"3 Gooray Street, Glen Forrest",2015,4,2114,620000
"3 Gordon Street, Cottesloe",2018,3,400,2020000
"3 Gould Place, Parmelia",2016,4,793,290000
"3 Grace Street, Scarborough",2020,2,225,530000
"3 Grassy Way, Quinns Rocks",2019,3,724,400000
"3 Gray Court, Mahogany Creek",2008,4,1998,450000
"3 Gurnard Road, Ferndale",2018,4,688,539000
"3 Gwenneth Terrace, South Lake",2015,4,710,430000
"3 Gypsum Cove, Port Kennedy",2020,4,560,269000
"3 Hackett Street, Bellevue",2014,3,869,412000
"3 Hakea Road, Woodlands",2020,3,729,877700
"3 Hamlet Close, Beldon",2016,3,703,590000
"3 Hampton Road, Darch",2018,4,602,620000
"3 Hapuna Street, Butler",2020,4,570,370000
"3 Hardey Road, Maylands",2020,3,478,1518880
"3 Hare Court, Willagee",2017,3,452,655000
"3 Harlow Road, Calista",2011,4,1358,315000
"3 Harper Place, Winthrop",2015,3,515,735000
"3 Hartle Lane, Brookdale",2014,4,478,341250
"3 Harvey Street, Peppermint Grove",2013,4,465,1600000
"3 Hastie Close, Brookdale",2014,4,476,360000
"3 Hatfield Way, Girrawheen",2018,3,692,305000
"3 Hawkins Road, Roleystone",2018,4,2421,740000
"3 Hayward Street, Myaree",2016,5,413,700000
"3 Hazelwood Ramble, Ballajura",2018,4,672,373000
"3 Hazelwood Road, Maddington",2020,4,561,240000
"3 Hearle Street, Seville Grove",2017,3,368,375000
"3 Heath Rise, Carine",2017,5,829,935000
"3 Hebrides Link, Kinross",2019,4,465,613000
"3 Helmingham Road, Landsdale",2019,4,550,650000
"3 Helsall Court, Willetton",2020,3,728,650000
"3 Henbury Court, Connolly",2020,4,823,701000
"3 Henderson Avenue, Redcliffe",2017,3,318,410000
"3 Henderson Drive, Kallaroo",2016,4,889,930000
"3 Henrietta Street, Bayswater",2020,3,465,520000
"3 Hereford Place, Spearwood",2020,3,728,413000
"3 Heron Place, Churchlands",2019,4,1004,1265000
"3 Hesketh Road, Greenmount",2016,4,1606,670000
"3 Hester Street, Langford",2017,3,684,408000
"3 Higgs Court, Brookdale",2013,4,464,285000
"3 Highbridge Way, Leda",2014,4,502,425000
"3 Hillside Crescent, Gooseberry Hill",2015,3,2022,580000
"3 Hilltop Close, Mahogany Creek",2010,3,1885,475000
"3 Hird Place, Palmyra",2018,3,486,545000
"3 Hirundo Place, Waterford",2013,5,570,622500
"3 Hitchcock Street, St James",2018,3,765,575000
"3 Hobart Street, North Perth",2020,3,494,970000
"3 Hogarth Street, Cannington",2016,4,1012,668000
"3 Holley Place, Marangaroo",2017,3,680,412500
"3 Honey Street, Mount Helena",2017,6,2100,582000
"3 Hopkinson Way, Wilson",2019,3,722,565000
"3 Horsenall Close, Ellenbrook",2019,4,582,430000
"3 Houghton Drive, Carramar",2017,4,619,558100
"3 Hoyton Place, Parmelia",2015,3,681,285000
"3 Hubble Parkway, Clarkson",2020,4,600,327000
"3 Hubert Street, Guildford",2013,3,372,515000
"3 Hunter Way, Bertram",2018,4,587,355000
"3 Huon Place, Merriwa",2018,4,632,345000
"3 Hurrey Place, Beechboro",2020,3,815,413000
"3 Hurst Street, Attadale",2017,2,463,835125
"3 Hyams Link, Burns Beach",2018,4,576,847500
"3 Iden Place, Huntingdale",2016,3,682,395000
"3 Inez Pass, Kinross",2020,4,601,522500
"3 Irma Way, Butler",2019,3,540,330000
"3 Isola Lane, Port Kennedy",2020,4,764,580000
"3 Ison Court, Caversham",2016,4,492,450000
"3 Itchen Loop, Butler",2019,4,384,260000
"3 Itea Place, Mindarie",2018,3,180,578000
"3 Ivythorne Grove, Kiara",2014,4,530,560000
"3 Jade Street, Mount Richon",2013,4,689,620000
"3 Jagoe Court, Marmion",2012,4,695,760000
"3 Jalna Way, Carramar",2017,4,601,530500
"3 Japonica Way, Murdoch",2016,4,344,666888
"3 Jarril Place, Koongamia",2014,4,718,375000
"3 Jason Street, Melville",2020,5,788,1120000
"3 Jasper Court, Bibra Lake",2017,4,778,650000
"3 Jefferson Way, Piara Waters",2018,4,589,565000
"3 jemidar court, Ascot",2016,4,392,518000
"3 Jensen Rise, Iluka",2019,5,700,1270000
"3 Jida Cove, Huntingdale",2018,3,548,322500
"3 Jillman Way, Ferndale",2017,3,693,420000
"3 Jindabyne Street, Hilbert",2014,3,416,505000
"3 Jingella Mews, Viveash",2008,3,773,489000
"3 Jitti Court, South Guildford",2017,4,478,430000
"3 Jodrell Road, Gwelup",2018,4,540,725000
"3 Johnson Close, Winthrop",2019,4,749,840000
"3 Josip Place, Osborne Park",2017,3,432,460000
"3 Jouissance Bend, Atwell",2018,4,661,680000
"3 Judges Court, Huntingdale",2016,3,598,450000
"3 Jules Court, Willagee",2018,4,800,750000
"3 Justin Drive, Sorrento",2020,4,578,575000
"3 Kabbarli Court, South Lake",2017,4,661,485000
"3 Kalara Way, Koongamia",2005,3,729,170500
"3 Kalari Drive, City Beach",2016,5,857,1700000
"3 Kalbarri Street, Lesmurdie",2017,5,1113,685000
"3 Kamber Court, Maddington",2019,3,501,287000
"3 Kamman Lane, Mosman Park",2017,3,342,710000
"3 Kanto Court, Marangaroo",2017,3,688,425000
"3 Karo Place, Duncraig",2018,4,723,895000
"3 Karreen Way, South Guildford",2015,3,552,475000
"3 Karrinyup Road, Trigg",2015,5,697,1565000
"3 Katrine Street, Floreat",2018,4,830,1365000
"3 Keaney Place, City Beach",2016,4,971,1750000
"3 Keans Avenue, Sorrento",2017,4,860,1500000
"3 Keel Place, North Fremantle",2018,4,522,1800000
"3 Kelty Road, Wanneroo",2018,4,665,720000
"3 Kemi Court, Joondalup",2017,4,672,507000
"3 Kemp Road, Mount Pleasant",2018,4,386,1285000
"3 Kennedya Road, Walliston",2014,4,1105,567000
"3 Kesiya Turn, Aubin Grove",2017,4,557,490000
"3 Kildare Link, Beaconsfield",2017,3,223,705000
"3 Kilkee Street, Ridgewood",2017,4,608,410000
"3 Killara Way, Craigie",2020,3,729,495000
"3 Kingfisher View, Brookdale",2013,4,575,315000
"3 Kirk Close, Camillo",2014,4,742,442000
"3 Kirkby Ridge, Salter Point",2017,5,504,1150000
"3 Kirra Court, Hillarys",2020,4,460,715000
"3 Kirwan Street, Floreat",2017,4,874,1760000
"3 Klem Avenue, Salter Point",2016,4,506,855000
"3 Koolunda Court, Karawara",2016,4,710,550000
"3 Koomyle Mews, Viveash",2010,5,588,478000
"3 Korbosky Road, Lockridge",2014,4,562,515000
"3 Kulbardi Way, Harrisdale",2019,4,684,615000
"3 Kumal Court, Maida Vale",2020,4,870,530000
"3 Kundyl Court, Kelmscott",2019,3,2007,460000
"3 Kuranda Place, Darlington",2016,4,1974,470000
"3 Kurrajong Way, Camillo",2017,3,684,258000
"3 Kwel Court, Karawara",2013,4,541,945000
"3 Ladoga Way, Iluka",2018,4,572,960000
"3 Lakehurst Way, Atwell",2017,4,602,600000
"3 Lakewood Avenue, Ascot",2019,3,200,730000
"3 Lambasa Way, Mindarie",2020,4,640,625000
"3 Lamond Close, Kinross",2020,5,700,435000
"3 Lanark Street, Menora",2005,3,683,649000
"3 Landbeach Boulevard, Butler",2018,3,365,390000
"3 Langley Way, Booragoon",2017,5,863,1065000
"3 Langtry View, Mount Claremont",2017,4,555,1500000
"3 Laser Close, Warnbro",2019,3,724,465000
"3 Lassia Walk, Stirling",2018,4,393,829000
"3 Launceston Avenue, City Beach",2016,3,766,1400000
"3 Lavender Way, Success",2018,5,678,588000
"3 Laverick Street, Haynes",2012,4,458,185000
"3 Leach Street, Marmion",2015,3,471,1320000
"3 Leata Link, Madeley",2019,4,563,500000
"3 Lebeo Court, Heathridge",2019,4,926,460000
"3 Letitia Road, North Fremantle",2016,3,309,860000
"3 Liege Street, Woodlands",2016,3,1064,1375000
"3 Lily Place, Thornlie",2020,2,640,520000
"3 Lindeman Heights, Ridgewood",2019,4,752,415000
"3 Linear Avenue, Mullaloo",2019,3,680,667000
"3 Lipari Link, Yangebup",2017,4,440,775000
"3 Liriope Parkway, Sinagra",2015,4,603,535000
"3 Litoria Pass, Dayton",2015,4,515,622000
"3 Little Harold Street, Bellevue",2013,3,732,340000
"3 Littlemore Road, Orelia",2017,3,728,235000
"3 Locock Street, Ascot",2016,4,461,905000
"3 Loder Way, South Guildford",2018,4,998,620000
"3 Looranah Street, Mount Nasura",2014,4,728,528000
"3 Lotherton Way, Hocking",2019,4,540,475500
"3 Lowana Court, Currambine",2017,3,641,435000
"3 Lucas Street, Willagee",2020,3,455,455000
"3 Lucev Place, Gwelup",2018,4,527,800000
"3 Ludlow Way, Bertram",2017,3,256,276000
"3 Luhrs Court, Mundaring",2018,4,2030,500000
"3 Luita Street, Wembley Downs",2017,4,507,1310000
"3 Lukin Avenue, Darlington",2015,3,2032,585000
"3 Lytham Mews, Connolly",2017,4,1044,685000
"3 Macau Place, Warnbro",2018,4,702,317000
"3 MacKaya Court, South Lake",2016,4,801,510000
"3 Magpie Place, Brookdale",2014,4,683,360000
"3 Maguire Avenue, Beechboro",2016,4,797,485000
"3 Majestic Place, Connolly",2016,4,830,700000
"3 Maley Court, Ashfield",2011,3,500,380000
"3 Mallee Way, Forrestfield",2020,4,700,400000
"3 Malvern Road, Butler",2020,4,510,495000
"3 Manila Place, Warnbro",2018,4,523,350000
"3 Mannaw Place, Hillman",2009,4,892,335000
"3 Manson Street, Swan View",2016,3,819,365000
"3 Maplewood Place, Cooloongup",2018,5,877,320000
"3 Marjorie Cove, Coogee",2016,4,705,875000
"3 Marloo Road, Greenmount",2016,3,2022,405000
"3 Marr Street, Myaree",2015,3,787,687500
"3 Marriott Road, Boya",2020,3,1727,602000
"3 Mary Mackillop Glen, Queens Park",2020,4,480,400000
"3 Masefield Avenue, North Lake",2009,3,745,425000
"3 Matisse Street, Ashby",2018,4,608,467000
"3 Matlock Street, Mount Hawthorn",2017,2,426,785000
"3 Mawson Place, Huntingdale",2016,5,600,485000
"3 Mayberry Court, North Lake",2008,4,733,610000
"3 Mcdermott Road, Kwinana Town Centre",2013,3,200,156977
"3 Mcmahon Street, Thornlie",2018,4,792,430000
"3 Mead Grove, Floreat",2020,3,535,1080000
"3 Melinga Court, Karawara",2015,3,420,510000
"3 Mellersh Court, Gwelup",2016,5,677,770500
"3 Melnik Street, Caversham",2018,2,502,520000
"3 Mercer Place, Noranda",2020,3,835,700000
"3 Merrang Circuit, Carramar",2018,4,714,460000
"3 Merrifield Place, Mullaloo",2018,6,812,915000
"3 Meteor Street, Beckenham",2019,3,684,345000
"3 Metroliner Drive, Currambine",2017,4,547,525000
"3 Miami Beach Promenade, Iluka",2020,4,701,740000
"3 Michael Street, Beaconsfield",2020,3,970,505000
"3 Middleham Boulevard, Orelia",2015,4,568,415000
"3 Millington Avenue, Daglish",2015,2,877,620000
"3 Mimosa Avenue, Mount Claremont",2016,4,512,1048000
"3 Mimosa Court, Marangaroo",2020,4,454,340000
"3 Minjah Circuit, Carramar",2018,4,616,525000
"3 Mippy Mews, High Wycombe",2018,4,750,397000
"3 Mirabeau Mews, Bibra Lake",2020,4,804,699000
"3 Mirria Way, Mount Nasura",2014,3,913,455000
"3 Monaco Close, Warnbro",2019,5,772,395000
"3 Moncrieff Road, Langford",2016,3,972,285000
"3 Moorine Court, Hillman",2010,3,698,275000
"3 Moorland Way, Burns Beach",2019,4,530,720000
"3 Moree Lane, Quinns Rocks",2019,3,539,495000
"3 Morfontaine Parade, Port Kennedy",2019,4,641,565000
"3 Morialta View, Aubin Grove",2016,4,442,680000
"3 MORSE LINK, Tapping",2017,5,604,515000
"3 Mudalla Way, Koongamia",2018,3,692,412500
"3 Murace Place, Middle Swan",2013,3,590,200000
"3 Murex Court, Mullaloo",2019,4,694,755000
"3 Myerson Crescent, Maida Vale",2015,4,612,505000
"3 Mystery Road, Banksia Grove",2019,4,510,455000
"3 Nandus Court, Heathridge",2019,5,727,520000
"3 Napean place, Armadale",2018,3,724,240000
"3 Napoleon Way, Bertram",2017,4,390,320000
"3 Narla Place, Koongamia",2014,3,792,330000
"3 Nash Street, Kelmscott",2019,4,809,405000
"3 Natham Road, South Lake",2018,4,701,438000
"3 Nathaniel Way, Orelia",2015,3,270,189500
"3 National Park Road, Swan View",2017,4,2430,500000
"3 Neale Retreat, Joondalup",2019,4,1000,626000
"3 Neon Court, Heathridge",2017,4,748,480000
"3 Ness Road, Applecross",2018,5,1027,2350000
"3 Newark Turn, North Coogee",2020,4,585,1480000
"3 Nidjalla Loop, Swanbourne",2017,4,305,1700000
"3 Nolan Way, Bateman",2015,4,770,840000
"3 Noosa Drive, Secret Harbour",2018,4,600,390000
"3 Norman Road, Roleystone",2019,3,1348,417500
"3 Novak Court, Hamilton Hill",2019,4,401,460000
"3 Nymans Close, Landsdale",2020,4,465,495000
"3 Observation Way, Singleton",2016,4,610,450000
"3 O'Connell Street, Hamilton Hill",2019,3,648,465000
"3 Olney Court, High Wycombe",2018,4,500,500000
"3 Oporto Rise, Coogee",2019,4,700,700700
"3 Orana Way, Roleystone",2017,3,1560,400000
"3 Oswell Street, Cloverdale",2019,4,774,334000
"3 Otago Lane, Currambine",2018,4,742,690000
"3 Otter Mews, Merriwa",2017,3,643,340000
"3 Owen Road, Darlington",2020,4,1666,800000
"3 Owgan Place, Bull Creek",2016,3,689,570000
"3 Paavo View, Hilbert",2016,4,2187,730000
"3 Padbury Place, Eden Hill",2014,3,644,396200
"3 Padbury Road, Darlington",2016,4,2030,585000
"3 Palamuna Court, Hillman",2017,3,693,250000
"3 Pantheon Avenue, North Coogee",2019,4,316,920000
"3 Paperheath Parade, Churchlands",2017,3,263,1320000
"3 Papillon Road, Success",2020,4,603,539000
"3 Paradise Turn, Burns Beach",2017,4,502,795500
"3 PARIAN PLACE, Rossmoyne",2016,6,809,1318444
"3 Parkinson Street, Noranda",2019,4,766,750000
"3 Parkside Avenue, Mount Pleasant",2019,4,512,1465000
"3 Paros Place, Secret Harbour",2020,4,735,640000
"3 Passmore Street, Rossmoyne",2013,4,885,986000
"3 Pat Street, Parkwood",2018,3,543,435000
"3 Pathfinder Road, Padbury",2018,5,846,675000
"3 Paton Place, Samson",2019,4,718,610000
"3 Patrick Way, Huntingdale",2016,3,745,422000
"3 Paulett Way, Belmont",2019,3,721,371663
"3 Pauline Avenue, Kalamunda",2017,2,989,650000
"3 Pavetta Crescent, Forrestfield",2018,3,746,377000
"3 Peach Way, Byford",2018,4,600,340000
"3 Penguin Close, Heathridge",2018,4,772,475000
"3 Pensacola Avenue, Caversham",2017,4,600,330000
"3 Penson Place, Singleton",2015,3,789,440000
"3 Pepperell Crescent, Leda",2015,4,530,345000
"3 Persian Street, Eglinton",2017,4,412,351000
"3 Peters Way, Bibra Lake",2015,3,709,481000
"3 Pethybridge Heights, Mosman Park",2020,4,350,1200000
"3 Petry Street, Langford",2016,6,753,446000
"3 Philadelphia Parade, Canning Vale",2020,4,536,615000
"3 Pimelea Crescent, Mount Claremont",2017,3,378,1375000
"3 Pinaster Street, Menora",2017,4,743,1200000
"3 PINE STREET, Henley Brook",2016,4,440,942500
"3 Pitt Street, Woodbridge",2018,4,896,410000
"3 Pivac Court, Kenwick",2018,4,570,410000
"3 Plumosa Way, Wattle Grove",2018,4,482,652000
"3 Plumwood Avenue, Hammond Park",2020,4,527,440000
"3 Podger Way, Brookdale",2013,4,503,346500
"3 Portrush Way, Mindarie",2019,5,407,735000
"3 Portsea Gardens, Jandakot",2015,4,672,900000
"3 Portsmouth Street, Jindalee",2017,4,642,515000
"3 Powderbark Bypass, Kenwick",2015,4,502,405000
"3 Preedy Court, Bateman",2015,4,772,882000
"3 Prescott Drive, Kardinya",2019,4,510,542000
"3 Preserve Link, Clarkson",2018,3,360,390000
"3 Prichard Road, Greenmount",2013,4,891,515000
"3 Priscilla Avenue, Beldon",2017,4,792,500000
"3 Providence Link, Atwell",2019,4,856,595000
"3 Prudhoe Mews, Ridgewood",2017,4,532,325000
"3 QUINDALUP COURT, Hillman",2013,4,758,506000
"3 Quong Place, Atwell",2017,4,578,510000
"3 Radborn Street, Greenmount",2013,3,2072,519000
"3 Raffles Court, Currambine",2019,4,658,625000
"3 Rainbow Crescent, Bennett Springs",2016,5,617,550000
"3 Rainsford Way, Parkerville",2015,4,1971,570000
"3 Ranunculus Court, Beeliar",2017,3,435,355000
"3 Raphael Rise, Landsdale",2018,5,500,585000
"3 Ravenglass Crescent, Waikiki",2019,4,630,505000
"3 Redcliffe Street, East Cannington",2015,2,1012,580000
"3 Redcloud Ridge, Merriwa",2018,3,450,312000
"3 Regatta Drive, Edgewater",2019,4,727,565000
"3 Regelia turn, Ellenbrook",2019,4,701,290000
"3 Retreat Mews, Canning Vale",2020,4,755,567500
"3 Reveley Close, Seville Grove",2020,4,916,300000
"3 Risana Close, Madeley",2016,4,638,740000
"3 Ritz Way, Currambine",2017,4,622,596000
"3 River Street, Bassendean",2019,4,1823,680000
"3 Roan Way, The Vines",2020,4,528,585000
"3 Robertson Road, Kardinya",2018,4,784,838000
"3 Robur Way, Banksia Grove",2018,4,378,321000
"3 Roccella Loop, Ashby",2017,3,252,430000
"3 Rocklands Loop, Carramar",2020,4,525,430000
"3 Romani Court, Lockridge",2016,3,396,335000
"3 Rossmoyne Drive, Rossmoyne",2015,4,736,1540000
"3 Roudnice Lane, Champion Lakes",2016,3,348,460000
"3 Rousham Road, Landsdale",2019,4,576,690000
"3 Royer Court, Ashfield",2016,4,520,500000
"3 Rudge Place, Lockridge",2014,3,1566,218000
"3 Rupert Street, Armadale",2019,4,700,267000
"3 Rushton Terrace, Mount Nasura",2014,4,1943,600000
"3 Sabina Street, Menora",2011,4,829,930000
"3 Salerno Approach, Piara Waters",2019,4,544,560000
"3 Salvador Close, Safety Bay",2019,4,683,500000
"3 Samual Court, North Lake",2005,3,884,275000
"3 Samuel Place, Wanneroo",2019,3,600,345000
"3 Sandilands Circuit, Tapping",2018,4,634,495000
"3 Sandover Road, Darlington",2020,3,2057,635000
"3 Sandstone Place, Marmion",2012,4,701,738000
"3 Sapium Way, Woodvale",2020,4,561,540000
"3 Sasoon Place, Seville Grove",2018,4,683,310000
"3 Savona Grove, Mindarie",2018,4,500,660000
"3 Sawley Close, Golden Bay",2017,4,2223,680000
"3 Scales Way, Spearwood",2018,3,728,380000
"3 Schacht Court, Myaree",2015,3,788,685000
"3 Schonell Way, Piara Waters",2018,4,480,486000
"3 Scilla Place, Roleystone",2018,4,2000,730000
"3 Scott Street, Guildford",2016,4,609,835000
"3 Scouler Way, Bateman",2015,4,723,838000
"3 Seabird Bend, Jindalee",2016,5,576,650000
"3 Seabrook Grove, Clarkson",2020,3,714,307000
"3 Seaforth Loop, Kallaroo",2019,4,877,790000
"3 Seamet Rise, Merriwa",2015,4,568,370500
"3 Seaton Place, Girrawheen",2017,4,692,328000
"3 Second Avenue, Woodbridge",2010,3,607,550000
"3 Sellenger Avenue, Samson",2012,4,729,555000
"3 Seminole Close, Connolly",2018,4,752,562500
"3 Serissa Lane, Stirling",2018,4,500,800000
"3 Settler Place, Greenmount",2013,4,713,475000
"3 Settlers Circle, Gwelup",2018,3,450,800000
"3 Shackleton Street, Bassendean",2019,3,440,415000
"3 Shakespeare Avenue, Balcatta",2020,3,1012,310000
"3 Shannon Street, Yanchep",2019,4,450,310000
"3 Shearer Street, Myaree",2014,3,1017,965000
"3 Sheen Way, Bullsbrook",2018,3,766,263000
"3 Shepway Place, Marangaroo",2019,3,704,415000
"3 Sherbrooke Gardens, Bibra Lake",2019,5,789,700000
"3 Sherman Court, Kingsley",2019,4,730,605000
"3 Shirlock Street, Two Rocks",2016,2,888,290000
"3 Siderno Rise, Hocking",2020,4,667,530000
"3 Sierra Key, Mindarie",2018,4,701,830000
"3 Skender Place, Gwelup",2016,4,628,847000
"3 Smeaton Lane, Carramar",2020,4,381,370000
"3 Smith Street, Beaconsfield",2016,3,847,755000
"3 Smyth Road, Shenton Park",2017,4,364,1000000
"3 Snowy Lane, Hilbert",2015,3,225,300000
"3 Sobotka Place, Winthrop",2017,4,861,930000
"3 Solander Close, Waikiki",2019,3,556,258000
"3 Solander Road, Hillarys",2019,4,690,664000
"3 Solanum Court, Ellenbrook",2020,3,345,260000
"3 Southport Loop, Burns Beach",2018,4,368,880000
"3 Speedy Cheval Street, East Fremantle",2018,3,336,850000
"3 Sperry Court, Ferndale",2017,4,702,558000
"3 Spicer Place, Bellevue",2012,4,695,440000
"3 Spoonbill Pass, Bennett Springs",2014,4,634,485000
"3 Spoonbill Place, Queens Park",2017,3,429,423000
"3 Springhill Place, Two Rocks",2017,5,881,440000
"3 Spruce Street, Greenwood",2019,3,665,480000
"3 St James Approach, Iluka",2017,4,716,940000
"3 St Leonards Avenue, West Leederville",2018,3,615,1375000
"3 Stain Way, Clarkson",2020,4,375,670000
"3 STANMER Way, Brabham",2018,3,300,330000
"3 Station Street, Guildford",2015,3,379,630000
"3 Steelwood Way, Helena Valley",2020,5,666,545000
"3 Steineck Way, Wattle Grove",2019,4,580,490000
"3 Stockdale Avenue, Sorrento",2019,4,844,1500000
"3 Stockholm Road, Wanneroo",2018,4,576,535000
"3 Stone Court, Bibra Lake",2020,4,749,641000
"3 Storrs Place, Winthrop",2017,4,630,830000
"3 Stortford Road, Southern River",2020,4,585,620000
"3 Strelley Lane, Carramar",2020,4,701,500000
"3 Strickland Court, Coogee",2019,4,715,627000
"3 Strowan Pass, Carramar",2017,4,465,475500
"3 Strudwick Street, Tapping",2020,4,576,500000
"3 Stylis Cove, Mindarie",2018,5,688,640000
"3 Success Crescent, Salter Point",2020,4,954,1455000
"3 Sudbury Way, City Beach",2018,5,911,1700000
"3 Summerhome Parade, Yanchep",2019,4,471,432000
"3 Superior Rise, Edgewater",2015,4,754,580000
"3 Surrey Road, Wilson",2017,3,1185,825000
"3 Swanston Street, Yokine",2019,4,522,563000
"3 Sweetman Street, White Gum Valley",2017,4,791,738000
"3 Tambora Bend, Madeley",2020,4,595,662000
"3 Tandou Court, Edgewater",2015,4,702,640000
"3 Tanner Street, Middle Swan",2015,4,708,420000
"3 Taplow Parade, Ashby",2015,4,360,450000
"3 Tarlo Mews, Aubin Grove",2017,4,540,553000
"3 Tarup Place, Hillman",2012,3,698,255000
"3 Tattler Place, Yangebup",2019,3,794,445000
"3 Tattler Way, Bennett Springs",2020,4,450,451000
"3 Tatton Way, The Vines",2020,4,956,800000
"3 Teasel Way, Banksia Grove",2018,4,480,421000
"3 Temby Court, Kardinya",2020,3,1012,565000
"3 Temple Mews, Iluka",2020,4,727,920000
"3 Tenardi Court, Greenwood",2018,3,683,505000
"3 Teocote Crescent, Aubin Grove",2016,3,491,530000
"3 Terelinck Crescent, Redcliffe",2016,4,364,462000
"3 Thaxted Street, Wellard",2019,2,287,240000
"3 The Fairways, Gnangara",2005,4,1000,666250
"3 The Oval, Madeley",2016,3,441,590000
"3 The Ramble, Parmelia",2016,4,777,290500
"3 The Ridge, Yangebup",2018,3,814,430000
"3 Third Avenue, Bassendean",2019,3,1003,515000
"3 Thistle Court, Dianella",2020,4,722,575000
"3 Thomas Hamilton Avenue, Mirrabooka",2019,4,501,585000
"3 Tilbury Mews, Quinns Rocks",2019,4,482,480000
"3 Timms Lane, Hammond Park",2016,3,300,495000
"3 Tintagel Court, City Beach",2017,4,969,1680000
"3 Tipuana Place, Edgewater",2016,4,693,512500
"3 Todd Place, Huntingdale",2018,4,682,430000
"3 Todea Court, Duncraig",2018,5,730,822000
"3 Tonrita Place, Wanneroo",2018,5,726,430000
"3 Torrens Close, Mullaloo",2016,4,727,705000
"3 Trafford Street, Beaconsfield",2018,4,674,905000
"3 Trentham Road, Landsdale",2020,3,353,460000
"3 Triandra Drive, Helena Valley",2017,4,600,679000
"3 Trinity Court, Safety Bay",2017,4,680,382000
"3 Tropea Place, Secret Harbour",2020,4,577,329500
"3 Trout Court, Sorrento",2020,4,786,1035000
"3 Tryall Avenue, Port Kennedy",2020,4,614,347000
"3 Tuckeroo Parade, Helena Valley",2020,5,1000,810000
"3 Tulsa Court, Mindarie",2020,5,846,865000
"3 Turnberry Place, Connolly",2019,4,899,720000
"3 Turnberry Way, The Vines",2018,4,696,550000
"3 Turo Close, Willetton",2019,4,680,680000
"3 Turstin Glen, Kiara",2014,4,528,129000
"3 Tuscan Street, Rossmoyne",2015,4,500,1850000
"3 Tuscany Place, Caversham",2019,4,635,415000
"3 Twilight Circuit, Ridgewood",2016,5,670,359000
"3 Two Rocks Road, Two Rocks",2017,3,809,440000
"3 Twyford Place, Innaloo",2019,4,762,890000
"3 Tyneside Grove, Currambine",2018,4,703,721000
"3 Ulex Place, Woodvale",2017,4,601,682000
"3 Uralba Court, Quinns Rocks",2019,4,803,480000
"3 Urquhart Way, Hocking",2017,4,596,191000
"3 Utica Terrace, Clarkson",2019,4,537,425000
"3 Valkyrie Place, Two Rocks",2018,3,813,369000
"3 Van Gogh Road, Tapping",2019,4,576,525000
"3 Van Kleef Circuit, Mount Claremont",2017,4,518,1550000
"3 Vantage Way, Burswood",2018,4,361,1665000
"3 Verdello Way, Pearsall",2015,3,368,505000
"3 Vernon Gough Drive, Baldivis",2020,4,710,542500
"3 Vilberie Close, Kiara",2010,4,466,435000
"3 Viminea Street, Carramar",2017,4,637,681200
"3 Vista Street, Kensington",2018,4,442,950000
"3 Vitis Chase, Ashby",2014,3,246,470000
"3 Vivian Way, Boya",2014,3,1781,570000
"3 Wagtail Pass, Joondalup",2019,5,475,740000
"3 Waldemar Street, Gwelup",2016,4,736,815000
"3 Walja Bend, Byford",2020,4,600,510000
"3 Wallaby Parade, Baldivis",2020,4,494,330000
"3 Wallace Street, Belmont",2019,4,406,545000
"3 Wallangarra Road, Carramar",2019,4,510,491050
"3 Wandarra Close, Karawara",2013,5,576,287000
"3 Wanderers Way, Madeley",2018,4,512,589000
"3 Wanliss Street, Jarrahdale",2013,4,993,380000
"3 Warrior Court, Padbury",2019,4,534,590000
"3 Watcombe Avenue, Burns Beach",2018,4,604,830000
"3 Water Crest Gardens, Gwelup",2017,4,482,1075000
"3 Waterford Street, Beaconsfield",2017,4,516,855000
"3 Waterside Crescent, Gwelup",2015,4,378,701000
"3 Waylen Street, Guildford",2017,3,900,883000
"3 Wedgetail Crescent, Success",2019,4,510,475000
"3 Weetman Cove, Cannington",2016,3,281,415000
"3 Welcome Meander, Harrisdale",2019,4,696,587000
"3 Weld Place, Woodvale",2019,4,769,602000
"3 Werner Close, Queens Park",2018,3,462,420000
"3 Westbury Lane, Madeley",2020,4,504,630000
